Name,Nomination Year,President,Country,Confirmed,Doc No.,Total Personal Contributions by Nominee,Bundling Value,Career Background,Graduate Degree(s) & Area(s) of Study,Career FSO,Career Senior FS,State Dept. Experience,Military Experience,Other Foreign Policy Experience (U.S. Gov't),Experience in Organizational Leadership,Language,Knowledge of Principal Language,Knowledge of Other Relevant Languages,Country Experience,Experience in Host,Experience In or Involving Host,Regional Experience,Experience in Region,Experience in or Involving Region
Gerald Wesley Scott,1995,Clinton,Gambia,Yes,C06122134,0,,,Yes (M.A. in Int'l Rel.),Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Democratic Republic of Congo, Kenya, Swaziland)",Yes (DCM in Kinshasa; DCM in Mbabane; Political Counselor in Nairobi)
R. Grant Smith,1995,Clinton,Tajikistan,Yes,C06122151,0,,,Yes (M.A.),Yes,Yes,Principal Deputy Assistant Secretary in Bureau of Int'l Narcotics Matters; Director of Office of Multinational Force and Observer Affairs,No,No,Yes,,No,No,,No,No,,"Yes (India, Pakistan, Nepal)","Yes (DCM in New Delhi; Special Assistant to Bureau of South Asian Affairs; Served abroad in India, Pakistan, and Nepal; served in Office of India, Nepal and Sri Lankan Affairs, including as Director)"
John Todd Stewart,1995,Clinton,Moldova,Yes,C06122156,0,,,Yes (M.A. in Int'l Relations and Economics),Yes,Yes,"Senior Advisor and VP of AFSA; DCM in Kingston, San Jose, and Ottawa; assignments as Int'l Economist in Geneva",No,No,Yes,,No,Yes (Russian),,No,No,,Yes (Russia),Yes (Commercial Officer in Moscow)
Lawrence Palmer Taylor,1995,Clinton,Estonia,Yes,C06122159,0,,,Yes (M.A.),Yes,Yes,Director of National Foreign Affairs Training Center; Minister-Counselor for Economic Affairs in Ottawa; served in Jakarta,No,No,Yes,,No,No,,No,No,,"Yes (UK, Croatia, Serbia)","Yes (Served in Zagreb, Belgrade, and London)"
Patrick Theros,1995,Clinton,Qatar,Yes,C06122164,0,,,No,Yes,Yes,Deputy Coordinator/ Director for Regional Policy in Office of Counter-Terrorism,No,No,Yes,,Yes (Arabic),Yes (English),,No,No,,"Yes (Jordan, UAE)",Yes (DCM in Amman; DCM in Abu Dhabi; Political Advisor to Commander of CENTCOM)
Peter Tomsen,1995,Clinton,Armenia,Yes,C06122165,0,,,Yes (M.A. in Int'l Relations),Yes,Yes,DCM and Political Officer in Beijing; Principal Deputy Assistant Secretary in Bureau of East Asian and Pacific Affairs; Special Envoy to Afghanistan,No,No,Yes,,No,No,,No,No,,No,No
"Charles H. Twining, Jr.",1995,Clinton,Cameroon,Yes,C06122173,0,,,"Yes (M.A. in Int'l Studies - Africa, M.A. in Int'l Relations)",Yes,Yes,Ambassador to Cambodia,No,No,Yes,,Yes (French),No,,Yes (Principal Officer in Douala),Yes (Principal Officer in Douala),,"Yes (Burkina Faso, Benin)",Yes (DCM in Ouagadougou; DCM in Cotonou)
Jenonne Roberta Walker,1995,Clinton,Czechia,Yes,C06122178,0,,,Yes (M.A.),No,No,Foreign Affairs Officer at Foreign Service Institute; worked on U.S.-West European political and economic relations for Policy Planning Staff; Director of Deputy Secretary's Interagency Committee on Human Rights and Foreign Assistance,No,No,Yes,,Yes (Czech),No,,No,No,,"Yes (France, Sweden, UK)",Yes (Studied at Sorbonne University in Paris; Director of Office for European and UN Arms Control; Political Counselor in Stockholm; Special Assistant to President and Senior Director for Europe at NSC; Analyst of Western European Affairs and Assistant to Director of CIA; Secretary for Naval Attaché in London)
"Charles H. Twining, Jr.",1995,Clinton,Equatorial Guinea,Yes,C06477222,0,,,"Yes (M.A. in Int'l Studies - Africa, M.A. in Int'l Relations)",Yes,Yes,Ambassador to Cambodia,No,No,Yes,,Yes (French),No,,No,No,,"Yes (Burkina Faso, Benin)",Yes (DCM in Ouagadougou; DCM in Cotonou)
John M. Yates,1995,Clinton,Benin,Yes,C06491105,0,,,"Yes (Ph.D., M.A. x2)",Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Michael William Cotter,1995,Clinton,Turkmenistan,Yes,C06497963,0,,,"Yes (M.A., J.D.)",Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
John Raymond Malott,1995,Clinton,Malaysia,Yes,C06497985,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
A. Elizabeth Jones,1995,Clinton,Kazakhstan,Yes,C06522556,0,,,Yes (M.A. in History),Yes,Yes,Yes,No,No,Yes,,Yes (Russian),No,,No,No,,Yes,No
Daniel Howard Simpson,1995,Clinton,Democratic Republic of the Congo,Yes,C06523808,0,,,Yes,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,Yes,Yes,,Yes,Yes
Robert E. Gribbin III,1995,Clinton,Rwanda,Yes,C06526012,0,,,Yes (M.A. in Int'l Rel.),Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,Yes,Yes,,Yes,Yes
Edward Brynn,1995,Clinton,Ghana,Yes,C06526158,0,,,"Yes (Ph.D., M.A. x2)",Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,Yes
William Harrison Courtney,1995,Clinton,Georgia,Yes,C06545557,0,,,Yes (Ph.D. in Economics),Yes,Yes,Yes,No,Yes (NSC),Yes,,No,Yes,,No,No,,No,Yes
Stanley Tuemler Escudero,1995,Clinton,Uzbekistan,Yes,C06545591,0,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Lannon Walker,1995,Clinton,Ivory Coast,Yes,C06545642,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (French),No,,No,No,,Yes,Yes
Harold Walter Geisel,1996,Clinton,Comoros,Yes,C06121716,0,,,Yes (M.B.A.),Yes,Yes,"Deputy Assistant Secretary for Information Management; Acting Inspector General; Deputy Inspector General; Administrative Minister-Counselor at Rome, Bonn, and Moscow; Executive Assistant to Under Secretary for Management",No,No,Yes,,No ,No ,,No,No,,No,No
Harold Walter Geisel,1996,Clinton,Mauritius,Yes,C06121716,0,,,Yes (M.B.A.),Yes,Yes,"Deputy Assistant Secretary for Information Management; Acting Inspector General; Deputy Inspector General; Administrative Minister-Counselor at Rome, Bonn, and Moscow; Executive Assistant to Under Secretary for Management",No,No,Yes,,Yes (English),Not Reported,,No,No,,No,No
Christopher R. Hill,1996,Clinton,Macedonia,Yes,C06121718,0,,,No,Yes,Yes,Economic position in Seoul,No,No,Yes,,No,No,,No,No,,"Yes (Albania, former Yugoslavia/ current Serbia, Poland)",Yes (DCM in Albania; economic position in Belgrade; Director of South Central European Affairs; economic position in Warsaw)
Aubrey Hooks,1996,Clinton,Republic of Congo,Yes,C06121720,0,,,Yes (M.A. in Economics),Yes,Not Reported,"Economic Counselor in Warsaw; economic positions in Ankara, Port au Prince, and Tel Aviv",No,No,No,,No ,No ,,No,No,,No,No
Kenneth C. Brill,1996,Clinton,Cyprus,Yes,C06121750,0,,,Yes (M.A.),Yes,Yes,Executive Secretary of State Dept.; Executive Assistant to Under Secretary for Political Affairs; Officer in Charge of Sudan/Ugandan Affairs; DCM in New Delhi; Consul General in Calcutta; Political Counselor in Jordan; charge d'affaires in India,No,No,Yes,,No,Yes (English),,No,No,,No,Yes (Director of Office of Egyptian Affairs)
Prudence Bushnell,1996,Clinton,Kenya,Yes,C06121753,0,,,Yes (M.S. in Public Admin.),Yes,Yes,Admin. Officer in Bombay; Director of Exec. Development Division at Foreign Service Institute; DCM in Senegal; Supervisory General Services Officer in Dakar,No,No,Yes,,Yes (English),No,,No,Yes (helped to formulate and implement U.S. policy re Kenya before becoming ambassador there),,No,Yes (Principal Deputy Assist. Secretary of State for African Affairs; Deputy Assist. Secretary for African Affairs; Reports Officer in Bureau of African Affairs)
Wendy Jean Chamberlin,1996,Clinton,Laos,Yes,C06121754,0,,,Yes (M.A. in Education),Yes,Yes,Director of Public Affairs in Bureau of Near East Asian Affairs; General Services Officer in Rabat; Political Officer in Kinshasa,No,No,Yes,,No,Yes (English),,Yes (Int'l Volunteer Service teacher; political and consular officer with the embassy),Yes (political officer with embassy),,Yes (Malaysia),Yes (DCM in Kuala Lumpur)
James Francis Creagan,1996,Clinton,Honduras,Yes,C06121757,0,,,Yes (Ph.D. in Int'l Relations),Yes,Yes,Bureau of European and Canadian Affairs; DCM in Rome; DCM to Holy See; Principal Officer in Sao Paulo,No,No,Yes,,No,No,,No,No,,No,Yes (Bureau of Inter-American Affairs)
Lino Gutierrez,1996,Clinton,Nicaragua,Yes,C06121775,0,,,Yes (M.A. in Political Science),Yes,Yes,Political Officer in Paris,No,No,Yes,,No ,No ,,No,No,,"Yes (Bahamas, Haiti)",Yes (Director of Office of Policy Planning Cooperation and Press in Bureau of Inter-American Affairs; DCM in Nassau; Political Officer in Port au Prince)
"John F. Hicks, Sr.",1996,Clinton,Eritrea,Yes,C06121781,0,,,Yes (M.A. in Int'l Relations),Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Zambia, Zimbabwe, Malawi, Liberia)","Yes (Senior Deputy Assistant Administrator, Bureau of Africa, in USAID; USAID Mission Director in Malawi and Liberia)"
Thomas C. Hubbard,1996,Clinton,Palau,Yes,C06121790,0,,,No,Yes,Yes,Chief of Training and Liaison Staff in Bureau of Personnel; Executive Secretary to Delegation and Energy Advisor to U.S. Mission to OECD; Political/ Economic Officer in Santo Domingo,No,Legislative Assistant to Congressman Jim Leach,Yes,,Yes (English),No,,No,No,,"Yes (Malaysia, Japan)",Yes (DCM in Kuala Lumpur; Principal Deputy Assistant Secretary for Bureau of East Asian and Pacific Affairs; Deputy Assistant Secretary for Bureau of East Asian and Pacific Affairs; Country Director for Japan; Economic Officer in Office of Japanese Affairs; Political Officer in Tokyo; Economic/ Commercial officer in Fukuoka)
Thomas C. Hubbard,1996,Clinton,Philippines,Yes,C06121790,0,,,No,Yes,Yes,Chief of Training and Liaison Staff in Bureau of Personnel; Executive Secretary to Delegation and Energy Advisor to U.S. Mission to OECD; Political/ Economic Officer in Santo Domingo,No,Legislative Assistant to Congressman Jim Leach,Yes,,Yes (English),No,,Yes (DCM in Manila),Yes (DCM in Manila; Deputy Director of Philippine Desk),,"Yes (Malaysia, Japan)",Yes (DCM in Kuala Lumpur; Principal Deputy Assistant Secretary for Bureau of East Asian and Pacific Affairs; Deputy Assistant Secretary for Bureau of East Asian and Pacific Affairs; Country Director for Japan; Economic Officer in Office of Japanese Affairs; Political Officer in Tokyo; Economic/ Commercial officer in Fukuoka)
"Tibor P. Nagy, Jr.",1996,Clinton,Guinea,Yes,C06121829,0,,,Yes (M.S. in Management),Yes,Yes,Management Analyst in Bureau of Personnel,No,No,Yes,,No ,No ,,No,No,,"Yes (Nigeria, Cameroon, Togo, Zambia, Seychelles, Ethiopia)",Yes (DCM in Lagos; DCM in Lome; DCM in Yaoundé; Post Management Officer and Systems Administrator in Bureau of African Affairs; Administrative Officer in Victoria-Mahe; General Services Officer in Lusaka; Administrative Officer in Addis Ababa)
Arlene Render,1996,Clinton,Zambia,Yes,C06121853,0,,,Yes (M.A.),Yes,Yes,Consular Officer in Genoa and Iran; Political Officer in Bureau of Intelligence and Research,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Republic of Congo, The Gambia, Ghana, Cote d'Ivoire)",Yes (DCM in Brazzaville; Director of Central African Affairs; Ambassador to The Gambia; DCM in Accra; Served in Abidjan)
Sharon P. Wilkinson,1996,Clinton,Burkina Faso,Yes,C06121879,0,,,Yes (M.A. in Teaching / Social Sciences),Yes,Yes,DCM in Lisbon; Principal Officer/ Consul General in Curacao; Director of Office of Public and Diplomatic Liaison for the Visa Office in Bureau of Consular Affairs; Management Analyst Officer in Bureau of Management; Staff Assistant to Assistant Secretary of State for Inter-American Affairs; Cultural Affairs Program Officer; Deputy Principal Officer and Chief of American Citizens' Services in Tijuana; Consular Officer in Sao Paulo; Desk Officer for Portugal,No,No,Yes,,Yes (French),No,,No,No,,Yes (Ghana),Yes (Consular Officer in Accra; Educational and Cultural Affairs Officer for Bureau of African Affairs)
Avis T. Bohlen,1996,Clinton,Bulgaria,Yes,C06121927,0,,,Yes (M.A.),Yes,Yes,Director of Office of Defense Policy and Military Security Affairs,No,No,Yes,,No,No,,No,No,,Yes (France),Yes (Deputy Assistant Secretary in Bureau of European and Canadian Affairs; Director of Office of Western European Affairs; DCM in Paris)
David C. Halsted,1996,Clinton,Chad,Yes,C06121969,0,,,Yes (M.A.),Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,"Yes (Uganda, Tanzania, South Africa)",Yes (DCM in Kampala; Deputy Director of Office of West African Affairs; Director of Regional Affairs in Bureau of African Affairs; Principal Officer in Zanzibar; Principal Officer in Cape Town)
"Morris N. Hughes, Jr.",1996,Clinton,Burundi,Yes,C06121990,0,,,Not reported,Yes,Yes,Political Officer in Moscow; Political Advisor to U.S. NATO Military Command; Administrative Officer in Paris; several administrative positions in the Department,No,No,Yes,,No,No,,No,No,,Yes (Cameroon),Yes (DCM in Yaoundé)
Dennis C. Jett,1996,Clinton,Peru,Yes,C06122010,0,,,Yes (M.A. in Economics),Yes,Yes,DCM in Lilongwe; DCM in Monrovia; Executive Assistant to Under Secretary for Political Affairs; Chief of Mission in Mozambique,No,Director for African Affairs at NSC,Yes,,Yes (Spanish),No,,No,No,,No,"Yes (""early concentration on Latin American affairs"")"
Robert Krueger,1996,Clinton,Botswana,Yes,C06122028,0,,,Yes (M.A. and Ph.D.),No,No,Ambassador-at-Large and Coordinator for Mexican Affairs,No,Member of U.S. House of Representatives (Interstate and Foreign Commerce Committee); Chairman of Senior Interagency Group on US-Mexican Policy; U.S. Senator,Yes,,Yes (English),No,,No,No,,Yes (Burundi) ,Yes (Ambassador to Burundi)
Marisa R. Lino,1996,Clinton,Albania,Yes,C06122045,0,,,Yes (M.A.),Yes,Yes,"Deputy Executive Secretary in Secretariat; economic and refugee positions in Islamabad, Damascus, and Baghdad",No,No,Yes,,No,No,,No,No,,Yes (Italy),Yes (Consul General in Florence)
Donald J. Planty,1996,Clinton,Guatemala,Yes,C06122066,0,,,Yes (M.A. in Political Science),Yes,Yes,Director of Office of Brazilian and Southern Cone Affairs in Bureau of Inter-American Affairs; DCM in Oslo; Counselor for Political-Military Affairs in Madrid,No,No,Yes,,No,No,,No,No,,No,No
Glen R. Rase,1996,Clinton,Brunei,Yes,C06122085,0,,,Yes (M.A.),Yes,Yes,"Number of economic policy positions in Bureau of Economic and Business Affairs; head of Office of Energy, Sanctions and Commodities; Int'l Economist at U.S. Mission to OECD; Economist at U.S. Mission in Santiago",No,No,Yes,,No,Yes (English),,No,No,,No,No
"George F. Ward, Jr. ",1996,Clinton,Namibia,Yes,C06122179,0,,,Yes (M.P.A.),Yes,Yes,Deputy Assistant Secretary in Bureau of Int'l Organization Affairs; DCM and Political Officer in Bonn; Deputy Director of Office of European Security and Political Affairs; Special Assistant for Policy in Bureau of European and Canadian Affairs,No,No,Yes,,Yes (English),No,,No,No,,No,No
David H. Shinn,1996,Clinton,Ethiopia,Yes,C06489510,0,,,"Yes (M.A. in Int'l Rel., Ph.D. in Pol. Sci.)",Yes,Yes,Yes,No,No,Yes,,No,No,,No,Yes (Assistant Desk Officer for Ethiopia),,Yes,No
Lawrence Neal Benedict,1996,Clinton,Cape Verde,Yes,C06496873,Not Reported,,,No,Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,No,No
Charles O. Cecil,1996,Clinton,Niger ,Yes,C06496892,0,,,Yes (M.A. in Int'l Rel.),Yes,Yes,Yes,No,No,Yes,,No,No,,No,No,,Yes,No
Arma Jane Karaer,1996,Clinton,Papua New Guinea,Yes,C06496917,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Arma Jane Karaer,1996,Clinton,Solomon Islands,Yes,C06496917,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Arma Jane Karaer,1996,Clinton,Vanuatu,Yes,C06496917,0,,,No,Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Alan R. McKee,1996,Clinton,Swaziland,Yes,C06496976,0,,,"Yes (M.A., M.A.L.D.)",Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,Yes,No
Day Olin Mount,1996,Clinton,Iceland,Yes,C06496988,0,,,Yes (M.B.A.),Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,Yes,No
Leslie M. Alexander,1996,Clinton,Ecuador,Yes,C06497950,0,,,"Yes (M.A., M.S.)",Yes,Yes,Yes,No,No,Yes,,Yes (Spanish),No,,No,No,,Yes,Yes
Dane Farnsworth Smith Jr.,1996,Clinton,Senegal,Yes,C06523813,0,,,"Yes (Ph.D., M.A. x2)",Yes,Yes,Yes,No,No,Yes,,No,No,,Yes,Yes,,Yes,Yes
Frances Cook,1996,Clinton,Oman,Yes,C06545556,0,,,Yes (M.P.A.),Yes,Yes,Yes,No,No,Yes,,No,Yes (English),,No,No,,No,No
Thomas W. Simons Jr.,1996,Clinton,Pakistan,Yes,C06545628,0,,,"Yes (Ph.D., M.A.)",Yes,Yes,Yes,No,No,Yes,,Yes (English),No,,No,No,,No,Yes
Maura Harty,1997,Clinton,Paraguay,Yes,C06121717,0,,,No,Yes,Yes,Executive Assistant to Secretary of State; Secretary of State's Deputy Executive Secretary; Managing Director of Office of Citizen Services; Special Assistant to Assistant Secretary of State for Consular Affairs; overseas tour in Madrid,No,No,Yes,,Yes (Spanish),No,,No,No,,"Yes (Colombia, Mexico)",Yes (Served in Colombia; Director of Inter-American Division of Office of Citizen Services; served in Mexico City)
James C. Hormel,1997,Clinton,Luxembourg,No (Recess),C06121721,43361,,,Yes (J.D.),No,No,,No,No,Yes,,Yes (French),No,,No,No,,No,No
Cameron Rees Hume,1997,Clinton,Algeria,Yes,C06121722,0,,,Yes (J.D.),Yes,Yes,Minister Counselor for Political Affairs at U.S. Mission to U.N.; Political Officer at U.S. Mission to U.N.; DCM at the Vatican; Office of Southern African Affairs; Policy Planning Staff,No,No,Yes,,Yes (Arabic),Yes (French),,No,No,,"Yes (Lebanon, Tunisia, Syria)",Yes (Political Officer in Beirut; Director of Foreign Service School in Tunis; served in Damascus)
John Francis Maisto,1997,Clinton,Venezuela,Yes,C06121728,0,,,Yes (M.A.),Yes,Not Reported,Political Officer in Manila,No,No,No,,Yes (Spanish),No,,No,No,,"Yes (Panama, Costa Rica, Nicaragua, Bolivia)",Yes (Deputy Assistant Secretary for Latin American Bureau; Deputy U.S. Rep. to OAS; DCM to Panama; Political Officer in San Jose; Economic/ Commercial Officer in La Paz; Ambassador to Nicaragua)
Barbara K. Bodine,1997,Clinton,Yemen,Yes,C06121744,0,,,Yes (M.A. in Int'l Rel.),Yes,Yes,Dean of School of Professional Studies of Foreign Service Institute; Associate Coordinator for Counterterrorism for Sec. State; Political-military officer in Bangkok,No,No,Yes,,Yes (Arabic),No,,No,"Yes (Deputy Office Director of Office of Saudi Arabia, Kuwait, Bahrain, Qatar, Oman, UAE, and Yemen Affairs)",,"Yes (Kuwait, Iraq)",Yes (DCM in Kuwait; Deputy Principal Officer in Baghdad; Political/Economic Officer in Office of Israel and Arab/Israeli Affairs)
Ralph Frank,1997,Clinton,Nepal,Yes,C06121764,0,,,Yes (M.B.A.),Yes,Yes,"Deputy Assist. Secretary of State for Personnel; Deputy Assist. Secretary of State in Bureau of Administration; Executive Assist. to Undersecretary for Management; served in Warsaw, Medan, and Belgrade",Yes,Officer in Submarine Service of U.S. Navy,Yes,,No,No,,Yes (administrative officer in Kathmandu),Yes (administrative officer in Kathmandu),,No,Yes (Special Assistant to Executive Director of Bureau of Near Eastern and South Asian Affairs; Executive Director of Bureau of Near Eastern and South Asian Affairs)
Dennis K. Hays,1997,Clinton,Suriname,Yes,C06121779,0,,,Yes (M.P.A.),Yes,Yes,DCM in Bujumbura,No,No,Yes,,No ,Yes (English),,No,No,,Yes (Guyana),Yes (DCM in Georgetown; Director of Office of Cuban Affairs; Director of Office of Mexican Affairs)
Donna Jean Hrinak,1997,Clinton,Bolivia,Yes,C06121784,0,,,Yes (J.D.),Yes,Yes,Consular Officer in Warsaw,No,Congressional Fellow in Office of Rep. Schroeder,Yes,,Yes (Spanish),No,,No,No,,"Yes (Venezuela, Brazil, Colombia, Mexico, Honduras, Dominican Republic)",Yes (Deputy Assistant Secretary of State for Caribbean and Mexican Affairs in Bureau of Inter-American Affairs; DCM and Political Counselor in Caracas; Political Officer in Sao Paulo; Int'l Relations Officer in Office of Central Am. Affairs; Economic Officer in Bogota; Consular Officer in Mexico City; DCM in Tegucigalpa; Deputy Consul General in Sao Paulo; Special Assistant to Ambassador & Commercial Attaché in Bogota; Ambassador to Dominican Republic)
Daniel C. Kurtzer,1997,Clinton,Egypt,Yes,C06121806,0,,,"Yes (Ph.D. in Political Science, M.A., Ph.M., in Middle Eastern Studies)",Yes,Yes,Principal Deputy Assistant Secretary in Bureau of Intelligence and Research; Policy Planning Staff; Junior Officer in Bureau of Int'l Organizations,No,No,Yes,,No,Yes (English),,Yes (Political Officer in Cairo),Yes (Political Officer in Cairo; Political Officer in Office of Egyptian and N. African Affairs),,Yes (Israel),"Yes (Deputy Assistant Secretary of State in Bureau of Near Eastern Affairs; Political Officer in Tel Aviv; M.A., Ph.M., in Middle Eastern Studies)"
Alphonse F. La Porta,1997,Clinton,Mongolia,Yes,C06121807,0,,,Yes (M.A. in History),Yes,Yes,Vice President of AFSA; Management Officer in Office of Management Operations; Political Officer in Ankara; Science and Technology Officer in Bureau of Int'l Organizations; Administrative Officer in Department of State,No,No,Yes,,No,No,,No,No,,"Yes (Malaysia, New Zealand, Indonesia)","Yes (Director of Office of Cambodian Genocide Investigations; Executive Assistant for Philippine Multilateral Assistance Initiative; DCM in Wellington; Deputy Director of Office of Indonesia, Malaysia, Brunei, and Singapore Affairs; Principal Officer in Medan; Political Officer in Ankara and Kuala Lumpur; Consular and Political Officer in Jakarta)"
James A. Larocco,1997,Clinton,Kuwait,Yes,C06121808,0,,,Yes (M.A. in Int'l Relations),Yes,Yes,"Deputy Director of American Institute in Taiwan; Economic Officer in Beijing; Economic Officer in Office of Pakistan, Afghanistan, and Bangladesh Affairs",No,No,Yes,,Yes (Arabic),Yes (English),,Yes (Economic Officer in Kuwait),Yes (Economic Officer in Kuwait),,"Yes (Israel, Egypt, Saudi Arabia)",Yes (DCM in Tel Aviv; Int'l Economist in Cairo; Economic and Commercial Officer in Jeddah)
James F. Mack,1997,Clinton,Guyana,Yes,C06121811,0,,,No,Yes,Yes,Office of Employee Relations; Principal Officer in Ponta Delgada; Principal Officer in Hanoi,No,No,Yes,,Yes (English),No,,No,No,,"Yes (Peru, Ecuador, Paraguay, El Salvador, Brazil, Costa Rica)",Yes (DCM in Peru; DCM in Quito; Director of Office of Andean Affairs; DCM in Asuncion; assignment in San Salvador; Office of Central American Affairs; Principal Officer in Sao Paulo and San Jose)
William Dale Montgomery,1997,Clinton,Croatia,Yes,C06121818,0,,,Yes (M.B.A.),Yes,Yes,Executive Assistant to Deputy Sec. State; DCM in Dar-es-Salaam; Executive Assistant to Under Secretary of State for Political Affairs; Staff Officer in Secretary of State's Secretariat,No,Commercial Officer on Detail to Dept. of Commerce,Yes,,Yes (Serbo-Croatian),No,,No,No,,"Yes (Bulgaria, Russia)",Yes (Special Advisor for Bosnia Peace Implementation; Deputy Bosnia Coordinator; Ambassador to Bulgaria; DCM in Sofia; Political Officer and Commercial Officer in Moscow)
Pete Peterson,1997,Clinton,Vietnam,Yes,C06121837,0,,,No,No,No,,Yes,Member of U.S. House of Representatives (House Nat'l Security Committee); U.S. Air Force pilot; Member of U.S.-Russian Joint Commission on POW/MIAs,Yes,,No,Yes (English),,Yes (P.O.W. during Vietnam War),Yes (P.O.W. during Vietnam War),,No,No
Robin Lynn Raphel,1997,Clinton,Tunisia,Yes,C06121851,0,,,"Yes (M.A. in History, M.A. in Economics and Resource Economics)",Yes,Yes,Assistant Secretary of State for Bureau of South Asian Affairs; Political Counselor in New Delhi; Political Officer in Pretoria and London; Special Assistant to Under Secretary of State for Political Affairs; Financial Economist in Bureau of Economic and Business Affairs; on detail to USAID,No,No,Yes,,Yes (French),No,,No,No,,No,Yes (Economic/ Commercial Officer in Office of Israel and Israeli-Arab Affairs; Staff Assistant in Bureau of Near Eastern Affairs)
Anne Marie Sigmund,1997,Clinton,Kyrgyzstan,Yes,C06121865,0,,,Yes (M.A. in Russian),Yes,Yes,"Counselor at USIA; Director of Office of East European Affairs; USIA postings in Buenos Aires, Managua, Tegucigalpa, Belgrade, Warsaw; USIA postings in Moscow and Leningrad",No,No,Yes,,Yes (Russian),No,,No,No,,No,Yes (M.A. in Russian)
Christopher C. Ashby,1997,Clinton,Uruguay,Yes,C06121917,1585,,,Yes (M.B.A.),No,No,,Yes,U.S. Marine Corps,No,,Yes (Spanish),No,,No,No,,No,No
James Franklin Collins,1997,Clinton,Russia,Yes,C06121931,0,,,Yes (M.A. in History),Yes,Yes,Yes,No,No,Yes,,Yes (Russian),No,,Yes (Charge & DCM in Moscow),Yes (Charge & DCM in Moscow),,No,Yes (Ambassador-at-Large to New Independent States; Coordinator for Regional Affairs for New Independent States)
Edward M. Gabriel,1997,Clinton,Morocco,Yes,C06121950,41220,,,Not reported,No,No,,No,No,Yes,,No,No,,No,No,,No,Yes (Senior Counselor for Middle Eastern issues at Center for Democracy; Member of Board of Directors of American Task Force for Lebanon; Member of Advisory Committee to Arab American Institute)
Gordon Davies Giffin,1997,Clinton,Canada,Yes,C06121962,1756,,,Yes (J.D.),No,No,,No,Director of Overseas Private Investment Corporation,Yes,,Yes (English),Yes (French),,Yes (lived in Canada for 17 years),No,,No,No
Steven J. Green,1997,Clinton,Singapore,Yes,C06121963,50542,,,Not reported,No,No,,No,No,Yes,,Yes (English),No,,No,No,,"Yes (China, Vietnam)",Yes (Headed Astrum's expansion into emerging markets in China and Vietnam)
Kathryn Walt Hall,1997,Clinton,Austria,Yes,C06121966,14398,,,Yes (J.D.),No,No,,No,No,No,,Yes (German),No,,No,No,,Yes (Switzerland),Yes (Lived in Switzerland)
David B. Hermelin,1997,Clinton,Norway,Yes,C06121976,56445,,,No,No,No,,No,No,Yes,,No,No,,No,No,,No,No
John C. Holzman,1997,Clinton,Bangladesh,Yes,C06121982,0,,,Yes (M.A.),Yes,Yes,"DCM in Accra; Office of Israel and Arab-Israeli Affairs; Office of Development Finance; worked in Yaoundé, The Hague and Conakry",No,No,Yes,,No,No,,No,"Yes (Director of Office of Pakistan, Afghanistan and Bangladesh Affairs)",,"Yes (Pakistan, India)",Yes (DCM in Islamabad; worked in New Delhi)
Richard Dale Kauzlarich,1997,Clinton,Bosnia & Herzegovina,Yes,C06122024,0,,,"Yes (M.A. in Political Science, M.A. in Economics)",Yes,Yes,Deputy Director for Policy Planning in Bureau of Int'l Organizations; Director of Executive Secretariat; Section Chief in Tel Aviv; Deputy Director and Financial Economist in Office of Int'l Finance and Development; Commercial Officer in Addis Ababa; Principal Deputy to Ambassador-at-Large and Special Advisor to Secretary on New Independent States,No,No,Yes,,No,No,,No,No,,Yes (Azerbaijan),Yes (Deputy Assistant Secretary in Bureau of European and Canadian Affairs; Director of Office of European Union and Regional Affairs; Ambassador to Azerbaijan)
Philip Lader,1997,Clinton,UK,Yes,C06122034,1674,,,"Yes (J.D., M.A. in History)",No,No,,No,No,Yes,,Yes (English),No,,No,No,,No,No
